entity_id,fecha,LF,PAR,f1,f2_CV,f3,f4,HU_horas,CO2_tCO2e,desbalance_pct,fp_promedio,thd_v_pct
SmartMeter_SM_B10_ARQ,2026-02-20,0.40205556984974783,2.4872183722606054,0.529769981360506,0.5076519101119974,0.42292416850940084,0.47057728214665157,0.009500007653196757,0.03216475008911999,0.6583412912504013,0.9466368055555555,2.252222291666667
SmartMeter_SM_B10_ARQ,2026-02-21,0.5068540000597004,1.9729547362400492,0.692791554389288,0.4359174813214598,0.23798340810966806,0.38858936923424775,0.012013193779222808,0.03579112058566715,0.8658564767848408,0.9103590277777779,1.5721506249999997
SmartMeter_SM_B10_ARQ,2026-02-22,0.5109629623039138,1.957089013831914,0.685859011546751,0.47499879388675187,0.36105403743867737,0.4295214391070636,0.012048937276533797,0.028466991161027105,0.6590876162317846,0.9153291666666666,2.4284805555555558
SmartMeter_SM_B10_ARQ,2026-02-23,0.42177762063460994,2.370917637819171,0.5454908694382562,0.29940206646708717,0.5414980453164057,0.5111434606325393,0.009932230174570912,0.030425041099753344,0.6749016214307737,0.9607666666666667,2.412941388888889
SmartMeter_SM_B10_ARQ,2026-02-24,0.6315798369175979,1.5833311032861073,0.7922901912742383,0.27080637504045313,0.4673716669397439,0.5759038288783322,0.014702174076736808,0.027656537068719914,0.6361433438102551,0.9624958333333332,2.490394236111111
SmartMeter_SM_B10_ARQ,2026-02-25,0.5409373547143517,1.8486428997458713,0.7106208470703733,0.23452139655604537,0.5328978694383482,0.4771930277532628,0.012759456621727764,0.031178876134047163,0.8272077729846495,0.9540986111111112,2.491990972222222
SmartMeter_SM_B10_ARQ,2026-02-26,0.5877218059729266,1.7014852772811107,0.7665740259353055,0.24261253556236492,0.42248309504543236,0.4928093015416152,0.013811954121302837,0.030836932312327252,0.6016351404139554,0.9578840277777777,2.510358263888889
SmartMeter_SM_B10_ARQ,2026-02-27,0.40306006412706397,2.4810198007727995,0.5280481302935203,0.513926340896654,0.3468354961290574,0.4831702216345359,0.009520332843904399,0.033525733778545924,0.6774980676619847,0.9445457125603864,2.2396698580917875
SmartMeter_SM_B10_ARQ,2026-02-28,0.5400947879669654,1.8515268472858593,0.7437365004489395,0.3722973446187937,0.2515704639557749,0.3715865035205954,0.012761184497092912,0.037340607676006686,0.8356605808949387,0.9019138888888888,1.6606697222222222
SmartMeter_SM_B10_ARQ,2026-03-01,0.5587092297069479,1.7898397714398173,0.7659071188744584,0.30819645417915503,0.2763319686141618,0.38191496234935135,0.013216926065785336,0.032485977446391576,0.8941024889114946,0.8932618357487924,1.318378280611297
SmartMeter_SM_B10_ARQ,2026-03-02,0.4138807863701217,2.416154682536359,0.5464122856369056,0.3275437383003638,0.5149595851001058,0.4663056624383266,0.009755877260651349,0.03354473517640413,0.7302305504460215,0.9504152700259865,2.304952031922315
SmartMeter_SM_B10_ARQ,2026-03-03,0.657270307616223,1.5214440518799388,0.817973462460913,0.19267127630201067,0.5870195206171785,0.5924985682386761,0.01543782659180809,0.029805649806266755,0.5998344670607249,0.964072868840118,2.6495483569110765
SmartMeter_SM_B10_ARQ,2026-03-04,0.45624101372425824,2.1918239919666176,0.5952989980356375,0.3958303244306151,0.43374884344146725,0.4920156228530025,0.010724121830613439,0.030384543954754404,0.773379355438863,0.9548408298419573,2.5596829679795494
SmartMeter_SM_B10_ARQ,2026-03-05,0.6100759895075983,1.6391400697593677,0.8011242212797585,0.2302533594748236,0.5288414805060139,0.478075313409296,0.01434938329553216,0.03241690076773595,0.6472136221539632,0.9605817243811968,2.9586095314845218
SmartMeter_SM_B10_ARQ,2026-03-06,0.3963436686992338,2.52306288449596,0.5114365308905756,0.5135386295342365,0.39832248240788226,0.5160224518910285,0.009327474337966695,0.03116371128513906,0.6764378442343523,0.9433471009505155,2.510645990894639
