entity_id,time_index_colombia,activepower,totalpowerfactor,relativethdvoltage,v1,v2,v3,activeenergyimport
SmartMeter_SM_B10_ARQ,2026-02-12 01:00:00,23041.64,0.862,1.4301599999999999,123.1,123.98639999999999,124.52600000000001,27359657.76
SmartMeter_SM_B10_ARQ,2026-02-12 02:00:00,22555.744,0.86,1.42268,123.40280000000001,124.33840000000001,124.63600000000001,27382532.08
SmartMeter_SM_B10_ARQ,2026-02-12 03:00:00,23105.88,0.8612000000000001,1.38608,123.57520000000001,124.4712,124.834,27405489.12
SmartMeter_SM_B10_ARQ,2026-02-12 04:00:00,22750.924,0.8608,1.41028,123.1944,124.03280000000001,124.5808,27428743.92
SmartMeter_SM_B10_ARQ,2026-02-12 05:00:00,23863.412,0.868,1.4626,122.4684,123.16760000000001,123.6968,27451571.12
SmartMeter_SM_B10_ARQ,2026-02-12 06:00:00,28103.32083333333,0.8962500000000001,2.0087083333333333,121.31833333333333,121.45,122.58999999999999,27477391.833333332
SmartMeter_SM_B10_ARQ,2026-02-12 07:00:00,29041.24,0.9024000000000001,2.29656,121.0692,121.0592,122.25,27505516.8
SmartMeter_SM_B10_ARQ,2026-02-12 08:00:00,24719.276,0.9359999999999999,2.77512,121.88719999999999,122.8124,122.9368,27534872.88
SmartMeter_SM_B10_ARQ,2026-02-12 09:00:00,18744.6,0.9767999999999999,3.10416,122.4492,122.82199999999999,123.462,27554720.64
SmartMeter_SM_B10_ARQ,2026-02-12 10:00:00,17839.304,0.9795999999999999,3.29856,122.448,123.39120000000001,123.51440000000001,27574056.88
SmartMeter_SM_B10_ARQ,2026-02-12 11:00:00,17033.336,0.9772,3.4448399999999997,122.7592,123.31479999999999,123.7688,27591200.24
SmartMeter_SM_B10_ARQ,2026-02-12 12:00:00,17998.350000000002,0.97375,3.0999166666666667,122.86166666666666,123.39166666666667,124.19041666666668,27608713.0
SmartMeter_SM_B10_ARQ,2026-02-12 13:00:00,18367.756,0.978,3.19628,122.5908,122.97120000000001,123.91040000000001,27626309.12
SmartMeter_SM_B10_ARQ,2026-02-12 14:00:00,17997.236,0.9764,3.10156,122.7888,122.7124,123.6996,27644259.52
SmartMeter_SM_B10_ARQ,2026-02-12 15:00:00,17771.664,0.978,2.92452,123.7864,123.7776,124.17120000000001,27662610.64
SmartMeter_SM_B10_ARQ,2026-02-12 16:00:00,18992.144,0.9752,3.0282799999999996,124.02159999999999,123.9656,125.08760000000001,27681300.8
SmartMeter_SM_B10_ARQ,2026-02-12 17:00:00,20118.741666666665,0.9812500000000001,3.2294583333333335,124.205,123.65208333333334,125.12875000000001,27700839.25
SmartMeter_SM_B10_ARQ,2026-02-12 18:00:00,18837.756,0.9792000000000001,3.27396,124.02680000000001,124.2784,125.42479999999999,27719752.56
SmartMeter_SM_B10_ARQ,2026-02-12 19:00:00,16546.964,0.9739999999999999,2.97308,123.8696,123.9,125.3584,27737823.36
SmartMeter_SM_B10_ARQ,2026-02-12 20:00:00,13310.732,0.9512,2.37988,124.2956,125.0432,125.9272,27753067.2
SmartMeter_SM_B10_ARQ,2026-02-12 21:00:00,10827.9375,0.9420833333333333,2.1058749999999997,124.51333333333334,125.59750000000001,125.98208333333334,27764743.916666668
SmartMeter_SM_B10_ARQ,2026-02-12 22:00:00,7940.544,0.9412,1.90592,124.83760000000001,125.9152,126.1652,27773558.48
SmartMeter_SM_B10_ARQ,2026-02-12 23:00:00,6907.344,0.8952,1.65176,124.00959999999999,124.9736,125.6044,27781322.32
SmartMeter_SM_B10_ARQ,2026-02-13 00:00:00,5955.156,0.8684000000000001,1.51228,124.1164,125.06200000000001,125.7024,27787694.16
SmartMeter_SM_B10_ARQ,2026-02-13 01:00:00,5685.316,0.9007999999999999,1.49652,124.27879999999999,125.6716,125.77040000000001,27793402.72
SmartMeter_SM_B10_ARQ,2026-02-13 02:00:00,6208.831999999999,0.8932000000000001,1.47524,124.45,125.42039999999999,126.01559999999999,27799489.04
SmartMeter_SM_B10_ARQ,2026-02-13 03:00:00,6304.458333333333,0.9025,1.48625,124.48958333333333,125.72666666666667,125.91458333333333,27805696.416666668
SmartMeter_SM_B10_ARQ,2026-02-13 04:00:00,7261.988,0.9324000000000001,1.5640399999999999,124.3528,125.2876,125.7092,27812436.0
SmartMeter_SM_B10_ARQ,2026-02-13 05:00:00,7927.044,0.95,1.69176,123.56280000000001,124.5968,124.79520000000001,27819478.64
SmartMeter_SM_B10_ARQ,2026-02-13 06:00:00,12090.888,0.9611999999999999,2.36396,123.15639999999999,123.78,124.4012,27830115.2
SmartMeter_SM_B10_ARQ,2026-02-13 07:00:00,15871.116000000002,0.9752,2.74932,123.09120000000001,122.8892,124.1776,27844209.36
SmartMeter_SM_B10_ARQ,2026-02-13 08:00:00,17348.3625,0.9820833333333333,3.010291666666667,122.72291666666666,122.8275,123.96833333333332,27860893.833333332
SmartMeter_SM_B10_ARQ,2026-02-13 09:00:00,17544.356,0.9792000000000001,3.15548,122.0584,122.5384,123.4748,27878125.12
SmartMeter_SM_B10_ARQ,2026-02-13 10:00:00,16013.436000000002,0.9748,3.00036,123.32440000000001,123.3984,124.3116,27895042.56
SmartMeter_SM_B10_ARQ,2026-02-13 11:00:00,15750.983999999999,0.9703999999999999,3.048,122.8228,122.9832,123.79440000000001,27910781.12
SmartMeter_SM_B10_ARQ,2026-02-13 12:00:00,14931.583333333334,0.9608333333333333,3.0122916666666666,123.16250000000001,123.2025,123.89916666666666,27926092.583333332
SmartMeter_SM_B10_ARQ,2026-02-13 13:00:00,16500.012,0.9647999999999999,2.9667200000000005,122.81639999999999,123.416,124.00200000000001,27940794.96
SmartMeter_SM_B10_ARQ,2026-02-13 14:00:00,21813.752,0.9608,2.8042000000000002,121.9332,122.7956,123.54879999999999,27958728.32
SmartMeter_SM_B10_ARQ,2026-02-13 15:00:00,33282.40833333333,0.9195833333333333,2.5528333333333335,121.42583333333333,122.06625000000001,122.47250000000001,27987572.333333332
SmartMeter_SM_B10_ARQ,2026-02-13 16:00:00,18660.14,0.9636,2.84728,123.9456,124.3576,125.056,28014905.28
SmartMeter_SM_B10_ARQ,2026-02-13 17:00:00,12183.696000000002,0.9692000000000001,2.62248,124.8056,124.89280000000001,125.08319999999999,28029174.32
SmartMeter_SM_B10_ARQ,2026-02-13 18:00:00,11733.576000000001,0.9544,2.49864,124.9984,125.0224,125.36840000000001,28041364.4
SmartMeter_SM_B10_ARQ,2026-02-13 19:00:00,10851.716666666667,0.955,2.37875,124.88291666666667,125.19333333333333,125.61166666666666,28052307.583333332
SmartMeter_SM_B10_ARQ,2026-02-13 20:00:00,9065.36,0.914,2.0396799999999997,125.3308,125.6144,126.1016,28062406.4
SmartMeter_SM_B10_ARQ,2026-02-13 21:00:00,6938.084,0.8884000000000001,1.76928,125.14120000000001,125.654,126.0716,28070630.48
SmartMeter_SM_B10_ARQ,2026-02-13 22:00:00,4762.458333333333,0.8729166666666667,1.6100416666666666,125.71208333333334,126.48083333333334,126.57875,28076028.333333332
SmartMeter_SM_B10_ARQ,2026-02-13 23:00:00,5023.063999999999,0.8740000000000001,1.5303200000000001,124.9164,125.34119999999999,125.8372,28080994.0
