bloque,fecha,e_wh,area_m2,KPI01_kwh_m2
7,2026-02-19,1234561.8133333325,4834.72,0.2553533220813889
7,2026-02-20,1222537.5033333376,4834.72,0.2528662473386954
7,2026-02-21,1015173.1800000072,4834.72,0.20997558907237796
7,2026-02-22,942047.6333333328,4834.72,0.19485050495857728
7,2026-02-23,1155758.3333333284,4834.72,0.23905383007357786
7,2026-02-24,1184972.240000002,4834.72,0.24509635304629887
7,2026-02-25,1189963.7100000232,4834.72,0.24612877477910264
7,2026-02-26,1233771.916666679,4834.72,0.2551899420580052
7,2026-02-27,1329603.0930302963,4834.72,0.2750113952887233
7,2026-02-28,1093935.989565216,4834.72,0.2262666689208922
7,2026-03-01,979278.8333333284,4834.72,0.20255130252286138
7,2026-03-02,1250624.7946747392,4834.72,0.25867574433984575
7,2026-03-03,1222769.774159655,4834.72,0.2529142895885708
7,2026-03-04,1207210.4328615814,4834.72,0.24969603883194505
7,2026-03-05,1257337.2989350408,4834.72,0.26006413999880873
7,2026-03-06,1256170.602336377,4834.72,0.2598228237284428
7,2026-03-07,1102212.1403508931,4834.72,0.227978484865906
7,2026-03-08,953136.1340053752,4834.72,0.19714401950999752
7,2026-03-09,1181355.6962348223,4834.72,0.24434831722102257
7,2026-03-10,1270050.0640571862,4834.72,0.2626936128787575
7,2026-03-11,1234825.0265263617,4834.72,0.25540776436409174
7,2026-03-12,961266.8303236216,4834.72,0.19882575005866351
8,2026-02-10,587308.3600000013,3836.47,0.15308561255529204
8,2026-02-11,584215.4727272857,3836.47,0.15227943206314287
8,2026-02-12,581788.339999998,3836.47,0.15164678467445283
8,2026-02-13,502023.22999999113,3836.47,0.13085550779753033
8,2026-02-14,357030.25897233747,3836.47,0.09306217928781862
8,2026-02-15,199937.0952380877,3836.47,0.05211485955529112
8,2026-02-16,464145.75500000827,3836.47,0.12098250605374426
8,2026-02-17,543656.7933333237,3836.47,0.14170755755507633
8,2026-02-18,561538.5821428522,3836.47,0.14636855811275787
8,2026-02-19,488048.9086796567,3836.47,0.12721301318129863
8,2026-02-20,486754.7266666852,3836.47,0.1268756765116592
8,2026-02-21,300675.1493939422,3836.47,0.07837286604455194
8,2026-02-22,200301.93404759467,3836.47,0.052209957082316474
8,2026-02-23,488114.8389894217,3836.47,0.12723019833060645
8,2026-02-24,570843.599999994,3836.47,0.1487939694562955
8,2026-02-25,530468.0313636549,3836.47,0.13826982391720902
8,2026-02-26,489239.0661403276,3836.47,0.12752323519806688
8,2026-02-27,549499.822575761,3836.47,0.14323057982357765
8,2026-02-28,404389.5828571506,3836.47,0.10540668449307582
8,2026-03-01,257665.06499999575,3836.47,0.06716201742747781
8,2026-03-02,616520.6700549852,3836.47,0.1606999846356117
8,2026-03-03,605449.4291344918,3836.47,0.15781419615805464
8,2026-03-04,572083.0279247016,3836.47,0.1491170341289523
8,2026-03-05,556402.5477124583,3836.47,0.14502981848221366
8,2026-03-06,550382.069248572,3836.47,0.14346054295969263
8,2026-03-07,352518.88406454027,3836.47,0.09188626108494014
8,2026-03-08,207774.16611262783,3836.47,0.054157641298544716
8,2026-03-09,459516.3170810975,3836.47,0.11977581398553815
8,2026-03-10,594946.3815259449,3836.47,0.1550765108357279
8,2026-03-11,544113.2179587055,3836.47,0.14182652750020344
8,2026-03-12,510923.1835452989,3836.47,0.13317533658422948
9,2026-02-10,1956702.3333333293,7579.5,0.2581571783538926
9,2026-02-11,1987884.8133333307,7579.5,0.2622712333707145
9,2026-02-12,2085705.0289855096,7579.5,0.27517712632568236
9,2026-02-13,1831404.3200000003,7579.5,0.24162600699254572
9,2026-02-14,1293940.5833333302,7579.5,0.17071582338324828
9,2026-02-15,585101.1615941953,7579.5,0.07719521889230099
9,2026-02-16,1359884.9784057997,7579.5,0.17941618555390193
9,2026-02-17,1682875.7733333334,7579.5,0.22202991929986587
9,2026-02-18,1833398.916666668,7579.5,0.24188916375310612
9,2026-02-19,1883484.490000004,7579.5,0.24849719506563808
9,2026-02-20,1896185.7233333234,7579.5,0.2501729300525527
9,2026-02-21,1438149.700000003,7579.5,0.18974202783824828
9,2026-02-22,1032997.25,7579.5,0.13628831057457613
9,2026-02-23,1599176.6283333376,7579.5,0.21098708731886506
